cell.frame	cell.index	cell.center.x	cell.center.y	cell.majoraxis	cell.minoraxis	cell.orientation	cell.area	cell.volume	cell.perimeter	cell.mem.area	cell.mem.volume	cell.nuc.radius	cell.nuc.area
1	1	12	533	16	15	+44.776	181	1654	49	103	1202	3	29
1	2	20	553	33	26	+31.240	664	11000	98	226	4954	6	101
1	3	70	494	44	30	-75.238	1020	19836	123	284	7428	7	145
1	4	90	625	38	27	+11.650	774	13314	109	246	5770	6	113
1	5	98	514	30	27	-3.815	625	10470	96	224	5091	6	97
1	6	114	23	40	26	+8.326	792	13492	108	251	5691	6	121
1	7	114	717	44	33	-39.868	1111	23878	126	294	8509	7	177
1	8	122	448	44	24	-2.890	822	13440	115	250	5648	6	113
1	9	135	470	24	20	-43.587	342	3996	74	165	2537	4	49
1	10	139	33	16	15	-32.951	184	1794	48	112	1350	3	29
1	11	145	704	31	30	+14.995	714	13104	101	237	5779	6	113
1	12	146	322	35	30	+84.952	812	15264	105	244	6096	6	129
1	13	152	350	27	17	+31.424	343	3874	73	167	2502	4	49
1	14	162	203	25	19	+69.090	360	4364	73	162	2600	4	57
1	15	160	481	44	25	-75.263	852	14092	120	267	6051	6	121
1	16	166	299	26	21	+48.689	419	5766	79	187	3318	5	69
1	17	172	686	32	21	+58.336	524	7588	89	214	4038	5	81
1	18	165	441	45	29	+36.382	1009	19598	127	298	7643	7	145
1	19	179	402	37	28	+19.164	802	14328	109	242	5928	6	121
1	20	179	340	40	23	-28.745	709	11066	106	248	5261	6	101
1	21	182	314	25	23	+34.371	435	6130	82	187	3464	5	69
1	22	192	286	39	27	-61.196	821	14482	112	260	6207	6	121
1	23	201	429	27	17	+66.556	368	4312	74	169	2581	4	57
1	24	205	326	36	22	-89.356	596	8800	99	229	4665	5	89
1	25	210	87	36	34	-44.198	950	20074	118	272	7748	7	145
1	26	210	267	20	17	-21.172	264	2912	60	135	1895	4	45
1	27	220	297	37	22	-81.243	622	8952	102	237	4615	5	89
1	28	226	331	20	17	+80.633	241	2406	62	136	1805	3	37
1	29	236	68	28	22	+63.362	460	6428	87	199	3753	5	69
1	30	237	273	45	26	-59.166	900	15750	123	286	6876	6	137
1	31	240	632	16	14	+41.284	180	1642	49	103	1195	3	29
1	32	246	310	40	26	+56.470	774	12848	112	259	5793	6	109
1	33	245	502	42	30	-62.333	978	19100	119	280	7306	7	145
1	34	247	105	33	28	-26.583	705	12594	103	249	5776	6	109
1	35	252	414	29	16	+80.411	370	4156	76	167	2545	4	49
1	36	261	469	35	27	+42.390	748	13158	105	244	5730	6	113
1	37	269	266	37	27	+64.102	763	13526	107	256	6067	6	121
1	38	273	300	33	23	-75.477	584	8820	93	211	4243	5	89
1	39	274	498	36	22	-79.539	601	8960	98	226	4607	5	89
1	40	283	546	40	29	-5.401	883	16354	119	274	6869	6	137
1	41	292	362	32	22	+8.191	546	7922	89	193	3815	5	81
1	42	298	284	41	32	-60.302	1033	21554	124	289	8266	7	161
1	43	303	515	39	26	-31.804	791	13762	113	259	5996	6	121
1	44	317	494	33	20	-36.214	500	6584	88	205	3573	5	69
1	45	322	542	37	24	-1.761	691	10810	105	224	4903	6	97
1	46	332	603	38	26	-45.405	754	13186	108	250	5910	6	113
1	47	337	718	42	29	-72.735	955	18438	120	279	7230	7	145
1	48	340	489	17	16	-63.803	207	1968	54	113	1384	3	37
1	49	349	577	43	29	-75.488	967	18582	122	285	7416	7	145
1	50	352	467	27	23	+12.798	453	6238	83	188	3569	5	69
1	51	354	542	34	22	-64.201	582	8536	96	210	4234	5	89
1	52	366	698	37	29	+6.097	820	15136	108	246	6162	6	121
1	53	373	489	39	33	-19.661	994	20348	127	292	8090	7	145
1	54	370	724	33	20	+15.774	521	7058	91	202	3755	5	69
1	55	372	669	29	19	-81.843	424	5088	81	170	2822	4	61
1	56	380	526	35	29	+2.823	773	14322	110	260	6489	6	121
1	57	379	565	47	28	+83.592	1026	19460	128	291	7637	7	145
1	58	389	749	37	27	-67.471	787	13844	107	244	5789	6	121
1	59	404	504	35	25	+79.068	658	10884	99	235	5181	6	101
1	60	403	592	33	24	-45.517	604	9568	93	223	4559	5	97
1	61	405	547	30	24	-54.753	547	8354	87	203	4046	5	89
1	62	405	720	32	21	+47.543	524	7508	88	208	3872	5	81
1	63	414	150	39	35	-4.579	1054	23054	119	275	8077	7	169
1	64	428	643	41	31	+21.084	1002	20408	120	281	7665	7	145
1	65	430	518	44	29	+77.301	1001	19282	122	284	7429	7	145
1	66	450	498	19	15	+31.316	207	1920	58	127	1498	3	37
1	67	451	658	21	19	+45.116	302	3698	63	147	2295	4	45
1	68	456	151	41	35	-3.857	1112	24494	123	283	8417	7	177
1	69	459	558	36	29	-67.501	833	15430	107	240	6001	6	129
1	70	462	520	32	31	-75.390	768	14442	105	239	6129	6	121
1	71	487	228	14	11	-37.612	116	864	38	83	737	2	21
1	72	491	511	26	23	+5.181	463	6642	82	186	3535	5	69
1	73	500	360	21	17	-16.117	270	2860	63	137	1935	4	45
1	74	509	576	34	25	-46.920	655	11022	96	231	5066	6	101
1	75	512	158	22	21	-23.342	354	4620	68	150	2544	4	61
1	76	515	238	32	27	-11.641	657	10934	102	235	5184	6	101
1	77	519	58	34	32	-38.031	864	17488	107	248	6744	7	137
1	78	524	215	21	19	-6.163	301	3522	67	152	2327	4	45
